Image Name,Dot Number,R Value,G Value,B Value
36hr_kitchen_weekend,one,220.08,166.08,103.2
36hr_kitchen_weekend,two,130.04,129.88,147.44
36hr_kitchen_weekend,three,161.0,166.0,136.0
36hr_kitchen_weekend,four,187.12,114.64,115.64
36hr_kitchen_weekend,five,182.76,155.76,88.76
36hr_kitchen_weekend,six,183.36,151.92,180.08
36hr_kitchen_weekend,seven,170.08,80.84,128.92
36hr_kitchen_weekend,eight,153.76,59.76,111.76
36hr_kitchen_weekend,nine,143.32,67.32,114.32
36hr_kitchen_weekend,ten,100.28,49.44,86.92
36hr_kitchen_weekend,eleven,130.64,89.64,129.64
36hr_kitchen_weekend,twelve,196.88,167.48,107.48
36hr_kitchen_weekend,thirteen,191.08,156.32,98.8
36hr_kitchen_weekend,fourteen,166.92,132.8,62.56
36hr_kitchen_weekend,fifteen,176.44,140.44,64.44
36hr_kitchen_weekend,sixteen,189.08,162.36,130.08
12hr_kitchen_weekend,one,219.32,165.32,102.92
12hr_kitchen_weekend,two,125.88,125.88,137.88
12hr_kitchen_weekend,three,153.48,158.48,127.28
12hr_kitchen_weekend,four,173.56,88.56,83.64
12hr_kitchen_weekend,five,187.08,159.72,88.56
12hr_kitchen_weekend,six,180.96,152.96,177.52
12hr_kitchen_weekend,seven,164.84,79.12,124.0
12hr_kitchen_weekend,eight,153.32,61.4,112.44
12hr_kitchen_weekend,nine,136.6,67.6,111.6
12hr_kitchen_weekend,ten,98.16,46.48,78.44
12hr_kitchen_weekend,eleven,135.6,91.8,126.92
12hr_kitchen_weekend,twelve,200.36,173.36,106.36
12hr_kitchen_weekend,thirteen,193.0,166.0,99.0
12hr_kitchen_weekend,fourteen,178.2,157.12,107.8
12hr_kitchen_weekend,fifteen,174.48,144.72,75.28
12hr_kitchen_weekend,sixteen,192.64,166.64,131.08
60hr_kitchen_weekend,one,223.24,165.92,99.88
60hr_kitchen_weekend,two,120.36,123.16,137.56
60hr_kitchen_weekend,three,192.36,187.8,173.08
60hr_kitchen_weekend,four,213.04,202.28,192.2
60hr_kitchen_weekend,five,183.56,156.32,89.44
60hr_kitchen_weekend,six,182.4,148.36,172.68
60hr_kitchen_weekend,seven,170.64,84.76,127.16
60hr_kitchen_weekend,eight,161.72,70.28,120.88
60hr_kitchen_weekend,nine,147.0,67.52,112.32
60hr_kitchen_weekend,ten,107.04,49.44,87.32
60hr_kitchen_weekend,eleven,108.08,58.08,93.08
60hr_kitchen_weekend,twelve,180.32,154.32,105.32
60hr_kitchen_weekend,thirteen,173.16,142.16,95.16
60hr_kitchen_weekend,fourteen,155.72,122.72,72.76
60hr_kitchen_weekend,fifteen,156.0,121.84,59.32
60hr_kitchen_weekend,sixteen,193.84,172.52,139.76
48hr_kitchen_weekend,one,226.32,168.12,101.72
48hr_kitchen_weekend,two,131.32,134.72,139.6
48hr_kitchen_weekend,three,157.36,162.4,128.16
48hr_kitchen_weekend,four,217.0,209.2,197.84
48hr_kitchen_weekend,five,190.28,155.52,91.4
48hr_kitchen_weekend,six,191.0,157.36,184.28
48hr_kitchen_weekend,seven,176.16,77.16,142.16
48hr_kitchen_weekend,eight,172.8,66.8,138.8
48hr_kitchen_weekend,nine,153.44,69.28,121.0
48hr_kitchen_weekend,ten,99.48,42.92,87.28
48hr_kitchen_weekend,eleven,127.8,72.6,121.6
48hr_kitchen_weekend,twelve,198.28,166.88,101.8
48hr_kitchen_weekend,thirteen,184.52,149.52,85.52
48hr_kitchen_weekend,fourteen,162.56,117.52,49.16
48hr_kitchen_weekend,fifteen,168.68,125.56,46.92
48hr_kitchen_weekend,sixteen,210.12,196.16,170.44
0hr_kitchen_weekend,one,229.96,164.04,103.0
0hr_kitchen_weekend,two,155.88,151.88,142.56
0hr_kitchen_weekend,three,176.6,167.76,124.28
0hr_kitchen_weekend,four,185.52,110.48,122.16
0hr_kitchen_weekend,five,217.76,162.16,87.36
0hr_kitchen_weekend,six,192.76,156.52,183.0
0hr_kitchen_weekend,seven,177.56,77.76,141.92
0hr_kitchen_weekend,eight,165.08,62.68,129.28
0hr_kitchen_weekend,nine,150.76,76.76,126.64
0hr_kitchen_weekend,ten,111.32,48.84,90.64
0hr_kitchen_weekend,eleven,143.76,91.76,139.76
0hr_kitchen_weekend,twelve,209.64,183.64,96.64
0hr_kitchen_weekend,thirteen,212.4,187.4,87.4
0hr_kitchen_weekend,fourteen,152.28,123.0,72.44
0hr_kitchen_weekend,fifteen,197.16,166.08,84.36
0hr_kitchen_weekend,sixteen,200.96,171.4,137.32
24hr_kitchen_weekend,one,228.16,164.16,100.16
24hr_kitchen_weekend,two,129.8,135.48,142.32
24hr_kitchen_weekend,three,176.88,179.24,164.56
24hr_kitchen_weekend,four,203.4,190.6,187.52
24hr_kitchen_weekend,five,187.92,150.08,87.44
24hr_kitchen_weekend,six,189.72,159.44,190.72
24hr_kitchen_weekend,seven,173.64,81.04,149.84
24hr_kitchen_weekend,eight,169.0,69.0,142.0
24hr_kitchen_weekend,nine,148.16,68.16,127.16
24hr_kitchen_weekend,ten,116.92,54.08,110.68
24hr_kitchen_weekend,eleven,131.6,84.4,132.8
24hr_kitchen_weekend,twelve,198.6,175.6,105.92
24hr_kitchen_weekend,thirteen,191.76,158.76,89.76
24hr_kitchen_weekend,fourteen,170.16,141.64,79.32
24hr_kitchen_weekend,fifteen,177.32,142.32,60.32
24hr_kitchen_weekend,sixteen,198.0,179.76,160.8
